Pregunta,Respuesta
"¿Qué debe hacer el estudiante con los sílabos de los cursos aprobados en la institución extranjera?","El estudiante debe presentar los sílabos de los cursos aprobados en la institución extranjera, los cuales deben estar reflejados en el acuerdo o modificación de acuerdo de estudios de la UTEC."
"¿Qué debe hacer el estudiante con los documentos emitidos en un idioma diferente al inglés o español?","Si los documentos como el certificado de estudios o sílabos están en un idioma diferente al inglés o español, el estudiante debe realizar la traducción y adjuntar ambos documentos (original y traducido) a su expediente para el reconocimiento."
"¿Qué se espera del estudiante después de su experiencia de intercambio?","Después del intercambio, el estudiante debe realizar un informe detallado de su experiencia según los lineamientos y plazos de la UTEC, y puede ser convocado para colaborar en la promoción del programa a futuros estudiantes."
"¿Cuál es el propósito del reglamento de la Escuela de Posgrado?","El reglamento regula los aspectos de normas y procedimientos para los procesos administrativos y académicos de la Escuela de Posgrado de la Universidad de Ingeniería y Tecnología en todas sus modalidades de estudios."
"¿A quiénes aplica el reglamento de la Escuela de Posgrado?","El reglamento aplica a estudiantes, docentes y personal administrativo de la Escuela de Posgrado."
"¿Qué programas ofrece la Escuela de Posgrado?","Ofrece Programas de Formación Continua, Diplomados de Posgrado, Maestrías de Especialización y Maestrías de Investigación."
"¿Cuáles son los objetivos de la Escuela de Posgrado de UTEC?","Los objetivos incluyen actualizar y fortalecer capacidades de egresados, desarrollar investigaciones innovadoras y promover proyectos relacionados a la industria y al sector público."
"¿Quién es el Director de la Escuela de Posgrado?","El Director es la máxima autoridad y representante legal de la Escuela, propuesto por el Director General Académico y designado por el Director General de UTEC."
"¿Qué funciones tiene el Director de la Escuela de Posgrado?","Entre sus funciones están representar a la Escuela, formular políticas y planes de trabajo, organizar estructuras curriculares, supervisar tareas académicas y administrativas, y promover relaciones con organismos nacionales e internacionales."
"¿Qué responsabilidad tienen los Directores de Carrera de la Escuela?","Cada Director de Carrera es responsable de los programas de estudios de posgrado que se derivan de sus carreras profesionales."
"¿Cuáles son las funciones de los Directores de Carrera de la Escuela de Posgrado?","Sus funciones incluyen participar en procesos académicos, formular proyectos curriculares, supervisar el funcionamiento académico y administrativo de sus programas, y emitir informes solicitados."
"¿Cuál es el rol del Decano de la Facultad en relación con la Escuela de Posgrado?","El Decano es responsable de aprobar los planes de estudios de los programas de posgrado y asegurar la provisión de los servicios requeridos por la Escuela."
"¿Qué función principal tiene la Oficina de Servicios Académicos de la Escuela?","Su función principal es gestionar los trámites académicos administrativos y el proceso de matrícula de los estudiantes de la Escuela."
"¿Cómo se adquiere la condición de estudiante en la Escuela de Posgrado?","Se adquiere al lograr una vacante, completar satisfactoriamente el proceso de incorporación y matrícula, e iniciar estudios en el programa de posgrado elegido."
"¿Qué derechos y deberes tienen los estudiantes de la Escuela de Posgrado?","Los estudiantes están sujetos a los derechos y deberes establecidos en el Reglamento de Disciplina de Estudiante de UTEC."
"¿Cuál es la finalidad del proceso de admisión?","El proceso de admisión tiene como finalidad convocar, informar, inscribir, evaluar y seleccionar a los postulantes para los programas de estudios de la Escuela de Posgrado."
"¿Qué se requiere al momento de la inscripción en la Escuela de Posgrado?","En la inscripción se deben presentar los documentos indicados en el reglamento y una declaración jurada."
"¿Cómo se determinan las vacantes para cada programa de estudios?","El número de vacantes es determinado por el Director de Posgrado y aprobado por el Director General Académico de UTEC."
"¿Cuáles son los requisitos para postular a los programas de la Escuela de Posgrado?","Los requisitos varían según el programa e incluyen documentos de identidad, constancias de egreso, currículum vitae, recibos de pago, certificados de idioma, cartas de referencia y un ensayo de intención."
"¿En qué consiste la entrevista de evaluación para postulantes a maestrías?","Incluye un examen de conocimientos y una evaluación del expediente académico y profesional."
"¿Qué sanciones se aplican por faltas durante el proceso de admisión?","Las faltas pueden llevar a la anulación de la postulación y registros, y en algunos casos, acciones legales."
"¿Qué ocurre con los documentos presentados por los postulantes no admitidos?","Los documentos de postulantes no admitidos son devueltos según el calendario establecido, o eliminados si no son reclamados."
"¿Qué es la matrícula en la Escuela de Posgrado?","La matrícula es el procedimiento por el cual un estudiante se inscribe en las asignaturas que desea estudiar según el reglamento y los documentos aplicables."
"¿Cuáles son los criterios para la matrícula en la Escuela de Posgrado?","La matrícula se lleva a cabo en fechas y horarios establecidos, siempre que el estudiante haya cumplido con todos los requisitos, como no tener deudas pendientes o materiales académicos no devueltos."
"¿Qué tipos de matrícula existen en la Escuela de Posgrado?","Existen dos tipos: la matrícula regular, que es la inscripción en todas las asignaturas ofrecidas de un programa por ciclo antes de su inicio, y la matrícula extemporánea, que es la inscripción en fecha posterior al inicio del programa."
"¿Qué es la reserva de matrícula en la Escuela de Posgrado?","La reserva de matrícula se obtiene automáticamente cuando un estudiante no se matricula en el ciclo que le corresponde, permitiéndole un acceso limitado a las instalaciones y servicios de la Escuela."
"¿Cómo funciona el retiro de una asignatura en la Escuela de Posgrado?","El retiro es un procedimiento que permite al estudiante retirarse de una asignatura, con consecuencias académicas y económicas, en un plazo determinado establecido en el calendario académico."
"¿Qué implica el retiro del ciclo académico en la Escuela de Posgrado?","El retiro del ciclo académico es un procedimiento que permite al estudiante retirarse de un ciclo completo, con las respectivas consecuencias académicas y económicas, y requiere una justificación formal."
"¿Qué sucede cuando un estudiante se retira de la Escuela de Posgrado?","Al retirarse de la Escuela de Posgrado, el estudiante pierde todos sus derechos como estudiante de UTEC."
"¿Qué es el abandono en la Escuela de Posgrado?","El abandono ocurre cuando un estudiante deja de asistir a clases o rendir evaluaciones sin haber solicitado formalmente el retiro, llevando a la desaprobación de las asignaturas o del ciclo."
"¿Cómo funciona el reingreso a la Escuela de Posgrado?","Un estudiante que se retira o abandona puede reingresar en un nuevo ciclo académico, sujeto a la oferta académica y cupo disponible, así como a las condiciones económicas y académicas vigentes en el momento del reingreso."
"¿Cómo se organizan los ciclos académicos en la Escuela de Posgrado?","Los estudios de maestría se organizan en ciclos académicos semestrales o cuatrimestrales, mientras que los programas de formación continua o diplomados de Posgrado no están estructurados por ciclos académicos."
"¿Qué son los créditos académicos en la Escuela de Posgrado?","El crédito académico es la unidad de medida que representa las horas lectivas y no lectivas necesarias para aprobar cada asignatura o actividad programada."
"¿Cuál es el objeto del Reglamento de Prácticas Preprofesionales?","El Reglamento establece las condiciones y disposiciones que regulan las Prácticas Preprofesionales en la Universidad de Ingeniería y Tecnología."
"¿Quiénes deben cumplir con el Reglamento de Prácticas Preprofesionales?","Todos los estudiantes de la Universidad de Ingeniería y Tecnología (UTEC) deben cumplir con el Reglamento."
"¿Qué se entiende por 'Ciclo académico Regular' según el reglamento?","Es el periodo académico de clases de 16 semanas, y se establecen 2 ciclos académicos regulares cada año."
"¿Cómo se define las prácticas preprofesionales en el reglamento?","Son actividades que el estudiante desarrolla en empresas o instituciones, permitiendo complementar conocimientos teóricos con práctica, aplicando habilidades y conocimientos técnicos."
"¿Cuál es la duración mínima de las prácticas preprofesionales?","Las prácticas preprofesionales deben tener una duración mínima de 6 meses o 720 horas."
"¿Qué tipos de prácticas preprofesionales se aceptan para convalidación en UTEC?","Se aceptan Prácticas Preprofesionales Regulares, Experiencia Laboral, e Investigación."
"¿Cuál es la responsabilidad del estudiante respecto a las prácticas preprofesionales?","El estudiante debe solicitar aprobación del Centro de Prácticas, desarrollar las prácticas y cumplir con el objetivo de estas."
"¿Qué responsabilidades tiene UTEC en el proceso de prácticas preprofesionales?","UTEC, a través de su Oficina de Career Services y otros encargados, es responsable de aprobar, asesorar, evaluar y administrar la documentación de las prácticas."
"¿Cómo se define el 'Centro de Prácticas' en el reglamento?","Es el conjunto de empresas e instituciones donde el estudiante desarrolla sus prácticas preprofesionales y que han sido aprobadas por UTEC."
"¿Qué sucede si un estudiante realiza prácticas en un Centro no aprobado por UTEC?","UTEC no convalidará prácticas preprofesionales realizadas en un Centro de Prácticas que no haya sido aprobado."
"¿Qué se entiende por 'Ciclo Extraordinario' según el reglamento?","Es el periodo académico de clases comprendido de enero a marzo."
"¿Qué es un 'Convenio de Cooperación Específico'?","Es un documento celebrado entre una empresa o institución y UTEC para que los estudiantes desarrollen su Curso Proyecto Profesional (Real Life Experience - RLE) a través de prácticas preprofesionales."
"¿Cómo se define 'Estudiante' en el contexto del reglamento?","Un estudiante es la alumna o alumno matriculado en UTEC, ya sea regular o no, y que se encuentre bajo la modalidad presencial, semipresencial o a distancia."
"¿Cuál es la duración de las prácticas preprofesionales según el reglamento?","Las prácticas preprofesionales deben tener una duración mínima de 6 meses o 720 horas a razón de 6 horas diarias o 30 horas semanales."
"¿Qué se requiere para que las prácticas preprofesionales sean acordes con la carrera profesional del estudiante?","Las prácticas preprofesionales deben ser acordes con la carrera profesional del estudiante."
"¿Qué tipos de prácticas preprofesionales se aceptan para convalidación en UTEC?","Los tipos aceptados son Prácticas Preprofesionales Regulares, Experiencia Laboral e Investigación."
"¿Cuál es la responsabilidad del estudiante en el proceso de prácticas preprofesionales?","El estudiante debe solicitar la aprobación del Centro de Prácticas, desarrollar las prácticas y cumplir con el objetivo de las mismas."
"¿Qué responsabilidades tiene UTEC en el proceso de prácticas preprofesionales?","UTEC es responsable de aprobar, asesorar, evaluar la realización de las prácticas y administrar la documentación presentada por los estudiantes."
"¿Cómo se define el 'Centro de Prácticas' en el reglamento?","Es el conjunto de empresas e instituciones aprobadas por UTEC donde el estudiante desarrolla sus prácticas preprofesionales."
"¿Qué sucede si un estudiante realiza prácticas en un Centro no aprobado por UTEC?","UTEC no convalidará prácticas preprofesionales realizadas en un Centro de Prácticas que no haya sido aprobado."
"¿Qué es la 'Convalidación de Prácticas Preprofesionales' según el reglamento?","Es el acto por el cual UTEC decide hacer valer las actividades desarrolladas por el estudiante en empresas o instituciones como prácticas preprofesionales para adquirir la condición de egresado."
"¿Qué prácticas no son convalidables según el reglamento?","UTEC no aprobará la posición de 'Apoyo de docente' o 'Ayudante del Docente' como prácticas preprofesionales convalidables."
"¿Cuáles son los requisitos para la Convalidación de Prácticas Preprofesionales?","El estudiante debe cumplir con los requisitos establecidos por UTEC según la modalidad de convalidación de prácticas preprofesionales que le corresponda."
"¿Cuál es el plazo para la Convalidación de Prácticas Preprofesionales?","El estudiante tiene un plazo de 15 días calendarios desde que inició sus prácticas para presentar la Ficha de Registro de Convalidación y hasta el término del ciclo académico regular para realizar el cierre de convalidación."
"¿Cuáles son las modalidades de convalidación establecidas por UTEC?","UTEC establece tres modalidades: Convalidación por el Curso Proyecto Preprofesional (RLE), Convalidación Complementaria y Convalidación Ordinaria."
"¿Cómo se convalidan prácticas preprofesionales bajo la modalidad de Curso Proyecto Preprofesional?","Bajo esta modalidad, el estudiante debe gestionar la documentación de vínculo laboral y aprobar el curso con la mínima nota aprobatoria de 11 para convalidar automáticamente ciertas horas de prácticas."
"¿Qué es la Convalidación Complementaria de Prácticas Preprofesionales?","Es para estudiantes que además de haber convalidado horas por el Curso Proyecto Preprofesional, deben convalidar horas adicionales para cumplir las 720 horas requeridas."
"¿Cuál es la duración mínima de prácticas complementarias en una empresa o institución?","La duración mínima de prácticas complementarias en una empresa o institución es de 1 mes o 120 horas."
"¿Cómo se evalúan las prácticas preprofesionales en la modalidad Complementaria?","La evaluación se realiza mediante la presentación de documentos y la evaluación del desempeño del estudiante por parte del tutor o jefe directo, siendo 11 la mínima nota aprobatoria."
"¿Qué es la Convalidación Ordinaria de Prácticas Preprofesionales?","Es una modalidad vigente para ciertos estudiantes, donde la evaluación de las prácticas se realiza teniendo en cuenta el informe del estudiante y la evaluación del desempeño por parte del tutor o jefe directo."
"¿Cuál es el propósito del Reglamento del Programa de Intercambio Estudiantil para Estudiantes Extranjeros en la UTEC?","Establecer y regular las normas y procedimientos para el programa de intercambio estudiantil dirigido a estudiantes extranjeros de pregrado que realizan un semestre de estudios en la UTEC."
"¿Quiénes deben cumplir con las disposiciones del Reglamento de Intercambio Estudiantil en la UTEC?","Las disposiciones son de cumplimiento obligatorio para los estudiantes extranjeros de pregrado que deseen estudiar en la UTEC."
"¿Qué se entiende por 'Estudiantes extranjeros' en el contexto del Reglamento?","Son los estudiantes de pregrado de nacionalidad no peruana y provenientes de instituciones extranjeras."
"¿Cuál es la finalidad del programa de intercambio estudiantil en la UTEC?","Estimular en los estudiantes el conocimiento global, dar un enfoque internacional a su carrera profesional y cultivar valores de solidaridad, comprensión, tolerancia y respeto por las diferentes culturas."
"¿Cuál es la duración máxima del intercambio estudiantil en la UTEC?","El intercambio estudiantil se desarrolla como máximo durante un semestre de estudios."
"¿Qué debe hacer un estudiante extranjero antes del intercambio estudiantil en la UTEC?","Debe ser nominado por su institución de origen, cargar documentos personales y académicos en el sistema en línea, y demostrar suficiencia en el idioma del curso."
"¿Cuál es la carga mínima de créditos que debe cursar un estudiante extranjero en la UTEC?","El estudiante debe cursar una carga mínima equivalente a 12 créditos, sin incluir cursos de idiomas."
"¿Qué debe hacer un estudiante extranjero después de su intercambio en la UTEC?","Debe retornar a su país de origen, realizar la traducción de documentos académicos si es necesario, y presentar un informe detallado de su experiencia."
"¿Qué requisitos deben cumplir los estudiantes extranjeros para participar en el intercambio estudiantil de la UTEC?","Ser estudiante regular, haber completado dos años de carrera, tener un promedio mínimo, no haber sido sancionado gravemente y cumplir requisitos adicionales del programa."
"¿Cuáles son las responsabilidades de la UTEC en relación con el programa de intercambio estudiantil?","La UTEC es responsable únicamente de las actividades del programa de intercambio y no se extiende a actividades extracurriculares o servicios externos relacionados con la estancia del estudiante."
"¿Qué debe hacer un estudiante extranjero para ser nominado al programa de intercambio en la UTEC?","El estudiante debe ser nominado por su institución de origen, completar datos personales, cargar documentos como pasaporte, certificados de estudios, suficiencia de idioma, carta de motivación, CV, y acreditar recursos económicos para el semestre."
"¿Cuánto tiempo tiene la UTEC para emitir una respuesta una vez que el estudiante extranjero completa su solicitud?","La UTEC tiene un periodo máximo de 15 días hábiles para evaluar el expediente y emitir una respuesta."
"¿Qué plazo tiene el estudiante extranjero para aceptar o rechazar la vacante en el programa de intercambio?","El estudiante extranjero tiene un plazo máximo de 5 días hábiles para comunicar su aceptación o rechazo de la vacante."
"¿Qué responsabilidad tiene el estudiante extranjero con respecto al seguro de salud durante el intercambio?","El estudiante debe adquirir obligatoriamente un seguro de salud y accidentes con cobertura en todo el territorio peruano, incluyendo repatriación en caso de fallecimiento, vigente durante todo el intercambio."
"¿Qué carga mínima de créditos debe cursar un estudiante extranjero en la UTEC?","El estudiante extranjero debe cursar una carga mínima equivalente a 12 créditos, excluyendo cursos de idiomas."
"¿Qué documentos necesita presentar el estudiante extranjero para su proceso de matrícula en la UTEC?","El estudiante debe presentar su acuerdo de estudios, cumpliendo los requisitos de aprobación de su institución de origen y la UTEC, y otros documentos solicitados por el programa de intercambio."
"¿Qué debe hacer el estudiante extranjero al llegar a Lima para el intercambio?","El estudiante debe notificar a la UTEC su fecha y hora de llegada, así como la dirección de su alojamiento en Lima."
"¿Cuáles son los gastos que debe cubrir el estudiante extranjero durante su intercambio en la UTEC?","El estudiante es responsable de todos los gastos derivados del programa, incluyendo visa, pasajes, seguro de salud, alojamiento, materiales académicos y gastos personales."
"¿Cuál es el procedimiento si un estudiante extranjero necesita modificar su acuerdo de estudios?","El estudiante debe contactar a su institución de origen para autorizar cambios en el acuerdo de estudios y solicitar los cambios en la UTEC dentro de 15 días hábiles después de su matrícula."
"¿Qué debe hacer el estudiante extranjero una vez finalizado su intercambio en la UTEC?","Debe solicitar su certificado de estudios o transcript of records en la oficina de internacionalización, siguiendo el proceso indicado para obtener dicho documento."
"¿Cómo se manejan las convalidaciones de cursos para estudiantes de intercambio en la UTEC?","Las convalidaciones de cursos se manejan a través de acuerdos entre la UTEC y la institución de origen del estudiante, basándose en la equivalencia académica."
"¿Qué tipo de soporte académico ofrece la UTEC a los estudiantes de intercambio?","La UTEC ofrece asesoría académica para la selección de cursos y seguimiento durante el semestre de intercambio."
"¿Es posible para los estudiantes de intercambio participar en actividades extracurriculares en la UTEC?","Sí, los estudiantes de intercambio pueden participar en actividades extracurriculares ofrecidas por la UTEC, sujeto a disponibilidad y requisitos específicos."
"¿Qué pasa si un estudiante de intercambio incumple las normas de conducta de la UTEC?","El incumplimiento de las normas de conducta puede resultar en sanciones disciplinarias, incluyendo la posible cancelación del intercambio."
"¿Qué responsabilidades tiene la institución de origen del estudiante en el programa de intercambio?","La institución de origen es responsable de la nominación del estudiante, asegurar que cumpla con los requisitos y proporcionar soporte antes y después del intercambio."
"¿Cómo se manejan las emergencias médicas de estudiantes de intercambio en la UTEC?","Los estudiantes deben contar con un seguro médico válido en Perú. La UTEC proporciona orientación sobre servicios médicos, pero no es responsable de los costos médicos."
"¿Puede un estudiante de intercambio extender su estancia en la UTEC?","La extensión de la estancia de intercambio está sujeta a la aprobación de ambas instituciones y al cumplimiento de los requisitos académicos y administrativos."
"¿Qué sucede con los créditos obtenidos por los estudiantes de intercambio en la UTEC?","Los créditos obtenidos son transferidos a la institución de origen del estudiante según los acuerdos de convalidación previamente establecidos."
"¿Cómo se evalúa el desempeño académico de los estudiantes de intercambio en la UTEC?","El desempeño académico se evalúa de acuerdo a los estándares y criterios de la UTEC, y los resultados son comunicados a la institución de origen."
"¿Qué deben hacer los estudiantes de intercambio al finalizar su semestre en la UTEC?","Al finalizar el semestre, los estudiantes deben completar los trámites de cierre, solicitar su transcript y prepararse para su regreso a la institución de origen."
"¿Cuál es el objeto del Reglamento de Docentes de la UTEC?","Regula todo lo referente a los docentes de pregrado y posgrado que desarrollan actividades académicas de docencia e investigación en la Universidad de Ingeniería y Tecnología."
"¿A quién aplica el Reglamento de Docentes de la UTEC?","Es de cumplimiento obligatorio para los docentes, el personal de apoyo a docentes, el personal administrativo y las autoridades de UTEC."
"¿Qué significa 'Docente TC' según el Reglamento de la UTEC?","Es un docente con asignación laboral mínima de 40 horas semanales en la UTEC."
"¿Cuáles son las clasificaciones de los docentes en la UTEC?","Los docentes se clasifican en Docentes Ordinarios, Docentes Extraordinarios y Docentes Contratados."
"¿Qué categorías existen dentro de los Docentes Ordinarios en la UTEC?","Las categorías son Docente Auxiliar, Docente Asociado y Docente Principal."
"¿Qué tipos de Docentes Extraordinarios hay en la UTEC?","Incluyen Emérito, Honorario, Doctor Honoris Causa, Visitante e Investigador Posdoctoral."
"¿Qué caracteriza a los Docentes Contratados en la UTEC?","Son aquellos con contrato a tiempo parcial y a plazo determinado, con actividades académicas que no superan las 19 o 23 horas semanales."
"¿Cuáles son las modalidades de los Docentes TC en la UTEC?","Incluyen Docente de Enseñanza, Docente de Enseñanza + Investigación, Docente Investigador y Docente Investigador UTEC."
"¿Qué define al Docente de Enseñanza en la UTEC?","Es un líder educativo con dedicación completa al desarrollo de actividades lectivas."
"¿Cómo se define al Docente de Enseñanza + Investigación en la UTEC?","Son líderes educativos con dedicación híbrida en actividades lectivas e investigación, realizando estudios para generar nuevo conocimiento."
"¿Qué es un Docente Investigador en la UTEC?","Es un profesional dedicado a la generación de conocimiento e innovación a través de la investigación, con carga lectiva de un curso por año y bonificación especial."
"¿En qué consiste la modalidad de Docente Investigador UTEC?","Es una modalidad para fomentar la investigación entre los docentes, permitiendo a cualquier docente solicitar ser clasificado en esta modalidad."
"¿Cómo se determina la línea de carrera de un docente ordinario a tiempo completo en la UTEC?","Se basa en factores diversos, alineados dentro de las tres grandes categorías y se evalúa con criterios del Modelo Docente y el Reglamento."
"¿Cuáles son los requisitos para un Docente Auxiliar en la UTEC?","Incluyen nivel de dominio del idioma inglés intermedio, título profesional, maestría, experiencia docente mínima de 2 años y capacitación docente completada."
"¿Qué requisitos debe cumplir un Docente Asociado en la UTEC?","Debe tener nivel de dominio del idioma inglés intermedio, título profesional, maestría, experiencia docente de 4 años y haber completado la capacitación docente."
"¿Qué se requiere para ser un Docente Principal en la UTEC?","Se requiere nivel de dominio del idioma inglés intermedio a avanzado, doctorado, título profesional, 9 años de experiencia docente y desempeño docente excelente."
"¿Cuáles son los plazos mínimos para la promoción de docentes ordinarios en la UTEC?","Cinco años para escalar de docente auxiliar a docente asociado y cinco años para escalar de docente asociado a docente principal."
"¿Qué define al Docente Extraordinario en la UTEC?","Es un profesional de excelencia que realiza actividades educativas relacionadas con su línea profesional o apoyo a proyectos de investigación o innovación didáctica."
"¿Cuáles son los regímenes de dedicación de los docentes de UTEC?","Pueden ser a tiempo completo o parcial, desarrollando actividades como investigación, docencia, participación universitaria, proyección social y extensión universitaria."
"¿Cómo se realiza la admisión de nuevos docentes en la UTEC?","A través de convocatorias publicadas en la página web de UTEC y en diferentes bolsas de trabajo, con un proceso de selección objetivo."
"¿Cuál es el proceso de evaluación del desempeño docente en la UTEC?","La DGA realiza la evaluación con información del CE2A y la DIN, y los docentes deben presentar evidencias de cada criterio hasta el 31 de diciembre de cada año."
"¿Cuáles son los deberes y obligaciones de los docentes en la UTEC?","Incluyen respetar el Estado democrático, ejercer la docencia con rigurosidad, generar conocimiento a través de investigación, perfeccionar conocimientos, participar en la mejora de programas educativos, entre otros."
"¿Cuáles son los derechos de los docentes en la UTEC?","Los derechos incluyen el ejercicio de la libertad de cátedra, promoción en la carrera docente, licencia por mandato legislativo, recibir remuneración según categoría y régimen de dedicación, y participar en proyectos de investigación."
"¿Qué apoyo se brinda a los docentes en la UTEC?","La DGA ha establecido posiciones de apoyo a la labor docente con criterios propios para su designación y/o renovación."
"¿Qué funciones realiza un Asistente de Enseñanza en la UTEC?","Incluyen tomar asistencia, cuidar la realización de exámenes, apoyar en aulas y laboratorios, brindar asesorías y preparar clases o materiales, entre otras actividades."
"¿Cuál es el rol del Técnico de Laboratorio en la UTEC?","Brinda apoyo en sesiones de laboratorio, realiza mantenimiento y cuidado de equipos, mantiene un inventario actualizado, y apoya en clases y servicios en el laboratorio."
"¿Qué responsabilidades tiene el Responsable de Laboratorio en la UTEC?","Además de las funciones del Técnico de Laboratorio, mantiene actualizada la página web de los laboratorios, coordina con técnicos y especialistas, y desarrolla guías y protocolos de higiene y seguridad."
"¿Quiénes pueden ser Ayudantes de Cátedra o Laboratorio en la UTEC?","Estudiantes de pregrado de últimos ciclos y pertenecientes al tercio superior, quienes brindan apoyo en aulas o laboratorios."
"¿Qué constituye una falta según el reglamento de la UTEC?","Cualquier conducta o omisión que transgrede, viola, quebranta, incumple o contraviene lo estipulado en el Reglamento de Docentes, otros reglamentos o normas internas de UTEC."
"¿Qué tipo de faltas ocasionan amonestación verbal en la UTEC?","Faltas de menor gravedad que no estén previstas como de cierta magnitud en el Reglamento Interno de Trabajo o en cualquier otra norma interna de UTEC."
"¿Qué establece el reglamento de la Escuela de Posgrado?","El reglamento establece las condiciones y disposiciones que regulan el sistema de becas y oportunidades de apoyo para estudiantes de maestrías de especialización, maestrías de investigación, diplomados de posgrado y programas de formación continua."
"¿A quién aplica el reglamento de becas y oportunidades de apoyo?","Aplica a todos los estudiantes de la Escuela de Posgrado, así como a los responsables del pago del derecho de matrícula, la inversión total del programa de estudios y otros conceptos relacionados."
"¿Qué se entiende por 'Postulante' según el reglamento?","Un postulante es la persona que se ha inscrito en algún programa de estudios de la Escuela de Posgrado."
"¿Qué implica la 'Matrícula' en el contexto del reglamento?","La matrícula es el valor económico que paga el estudiante cada vez que se inscribe en la Escuela de Posgrado para estudiar un programa de estudios."
"¿Cómo se define una 'Cuota Inicial' según el reglamento?","La cuota inicial es el valor económico que establece la Escuela de Posgrado UTEC para asegurar la vacante obtenida por el estudiante, demostrando la capacidad de pagar las cuotas mensuales a cambio del servicio educativo."
"¿Qué son las 'Cuotas Mensuales'?","Las cuotas mensuales son el pago que los estudiantes y/o responsables de pago deben realizar a cambio del servicio educativo que ofrece la Escuela de Posgrado durante la duración del programa de estudios."
"¿Qué es un 'Ciclo Académico' según el reglamento?","Un ciclo académico está compuesto por dos periodos académicos regulares."
"¿Qué son los 'Programas de Formación Continua'?","Son estudios cortos de perfeccionamiento profesional en áreas específicas que buscan actualizar conocimientos profesionales en aspectos teóricos y prácticos de una disciplina."
"¿Qué son los 'Diplomados de Posgrado' según el reglamento?","Son estudios cortos de perfeccionamiento profesional en áreas específicas, que requieren completar un mínimo de 24 créditos y otorgan un diploma a quienes los concluyan con nota aprobatoria."
"¿En qué consisten las 'Maestrías de Especialización'?","Son estudios de profundización profesional con una metodología de enseñanza que contempla una dedicación no exclusiva al programa, donde el estudiante profundiza su conocimiento para lograr mayor expertise."
"¿Qué es una beca según el reglamento de la Escuela de Posgrado?","Una beca es una exoneración total o parcial del pago del programa de estudios, siendo un instrumento para atraer y formar a los mejores talentos, incentivando la excelencia académica."
"¿Cómo se otorgan las becas en la Escuela de Posgrado?","Las becas se otorgan a los postulantes o estudiantes que cumplan con las condiciones y requisitos establecidos por la Escuela y/o los terceros donantes o auspiciadores."
"¿Cuáles son las características de las becas otorgadas por la Escuela de Posgrado?","Las becas son personales e intransferibles, no acumulables y su otorgamiento responde a criterios de la Escuela de Posgrado y/o terceros donantes o auspiciadores."
"¿Qué tipos de becas contempla la Escuela de Posgrado?","La Escuela de Posgrado contempla becas financiadas por UTEC y becas financiadas por terceros."
"¿Qué es el Graduate Research Scholarship (GRS) en la Escuela de Posgrado?","El Graduate Research Scholarship (GRS) es un beneficio exclusivo para las maestrías de investigación, consistiendo en la exoneración del costo de matrícula y/o exoneración parcial o total del pago de estudios."
"¿Cómo se renueva el Graduate Research Scholarship (GRS)?","La renovación del GRS se puede otorgar después de un año de estudios y está sujeta a una evaluación por parte de la Escuela de Posgrado."
"¿Qué son las becas financiadas por terceros en la Escuela de Posgrado?","Las becas financiadas por terceros son aquellas otorgadas a través de convenios o auspicios con empresas, entidades o personas naturales, estableciendo criterios para la selección, otorgamiento, suspensión y retiro de las mismas."
"¿Cuáles son las causales para la pérdida de una beca en la Escuela de Posgrado?","La pérdida de la beca puede darse por término del plazo de la beca, sanciones disciplinarias, falsear datos, abandono o separación de UTEC, desaprobación académica, entre otros motivos considerados pertinentes por la Escuela de Posgrado."
"¿Qué son las oportunidades de apoyo para maestrías de investigación?","Son modalidades bajo las cuales un postulante puede subvencionar sus estudios de maestría, como Asistente de Enseñanza (AE) o Asistente de Investigación (AI), a cambio de dedicación laboral en dichas posiciones."
"¿Qué ocurre si un estudiante pierde una oportunidad de apoyo en la Escuela de Posgrado?","Si un estudiante pierde una oportunidad de apoyo, debe asumir el costo del programa de estudios según el Reglamento de Pagos de la Escuela de Posgrado."
"¿Qué beneficios ofrece el Graduate Research Scholarship (GRS)?","El GRS ofrece la exoneración del costo de matrícula y/o exoneración parcial o total del pago de estudios para maestrías de investigación."
"¿Cuál es el criterio de selección para el Graduate Research Scholarship?","El proceso de selección incluye un filtro inicial por el Comité de Admisión de Posgrado y una evaluación final por la Dirección de Investigación, basándose en requisitos académicos y de investigación."
"¿Qué son las becas financiadas por terceros y cómo se gestionan?","Las becas financiadas por terceros provienen de convenios o auspicios con empresas o entidades, y se rigen por criterios específicos para la selección, otorgamiento, suspensión y retiro establecidos por la Escuela de Posgrado y el donante."
"¿Qué criterios se consideran para la pérdida de una beca en la Escuela de Posgrado?","La pérdida de una beca puede ocurrir por término del plazo de la beca, sanciones disciplinarias, falsear datos, abandono o separación de UTEC, desaprobación académica, entre otros."
"¿Qué sucede si un estudiante pierde una beca en términos financieros?","Si un estudiante pierde una beca, deberá asumir el costo del programa de estudios de acuerdo con el Reglamento de Pagos de la Escuela de Posgrado."
"¿Qué son las oportunidades de apoyo para maestrías de investigación?","Las oportunidades de apoyo para maestrías de investigación incluyen subvenciones como Asistente de Enseñanza o Asistente de Investigación, que permiten subvencionar estudios a cambio de dedicación laboral."
"¿Cuáles son las causales para la pérdida de oportunidades de apoyo?","La pérdida de oportunidades de apoyo puede ocurrir por término del plazo de la subvención, sanciones disciplinarias, falsear datos, abandono o separación de UTEC, o bajo rendimiento en funciones asignadas."
